"Survey","SightingTime","distance","object","Sample.Label","size","detected","observer","Beaufort","long","lat","x","y"
"GU0403",2004-07-08 18:11:45,2209.027657,91,621,1,1,1,2,-74.2859029799999,35.8113681200001,-115985.304538699,202136.786397112
"GU0403",2004-07-08 18:24:53,286.6639081,92,621,2,1,1,2,-74.31957708,35.82268393,-119006.298647163,203433.234019321
"GU0403",2004-07-08 18:38:28,1958.403533,93,621,1.5,1,1,2,-74.34420722,35.83583071,-121208.31869385,204923.490174993
"GU0403",2004-07-09 06:14:37,3419.639735,94,623,1.333333333,1,1,3,-74.62383841,35.8466724900001,-146401.927671575,206492.974661978
"GU0403",2004-07-20 19:23:41,8230.566536,95,741,1,1,1,3,-75.25644468,34.86021242,-205837.982372451,97914.0773537024
"GU0403",2004-07-21 19:11:35,1705.118912,96,759,4.5,1,1,2,-73.9971968999999,36.16160739,-89567.6465719744,240780.408210729
"GU0403",2004-07-22 08:25:09,3152.492837,97,761,3.5,1,1,1,-74.25611523,36.6861014900001,-112109.597377081,299324.522191191
"GU0403",2004-07-22 13:20:38,3152.492837,98,761,2.666666667,1,1,1,-74.3011104399999,36.4570463900001,-116447.716729656,273921.050620443
"GU0403",2004-07-22 14:37:56,2257.196359,99,762,5,1,1,0,-74.37934511,36.6272425700001,-123195.199561162,292925.416629984
"GU0403",2004-07-22 15:18:29,3135.223164,100,762,2,1,1,0,-74.39987518,36.66888671,-124965.642004839,297577.599925469
"GU0403",2004-07-22 15:26:48,323.4138961,101,762,4.5,1,1,0,-74.47224928,36.7001814700001,-131376.136139191,301145.199210331
"GU0403",2004-07-22 15:45:13,4636.327926,102,763,2.5,1,1,0,-74.43730399,36.7282348200001,-128214.377013823,304218.086241557
"GU0403",2004-07-22 15:52:11,815.9252076,103,763,3,1,1,0,-74.51550889,36.7458044900001,-135161.32738597,306270.512409261
"GU0403",2004-07-23 14:38:35,2374.767637,104,774,2.2,1,1,4,-73.96158258,37.4485697000001,-85030.1191811416,383742.08478781
"GU0403",2004-07-23 16:29:39,945.7620013,105,777,2,1,1,4,-73.6173291699999,37.53890153,-54528.905018323,393539.594042365
"GU0403",2004-07-23 17:13:00,3704.986458,106,778,1,1,1,3,-73.4625126,37.61141257,-40817.7510553348,401519.61942256
"GU0403",2004-07-23 17:45:07,3736.270013,107,779,2,1,1,3,-73.36759863,37.58204527,-32453.0968014587,398224.763843565
"GU0403",2004-07-24 06:43:21,583.9369251,108,782,4.6,1,1,2,-72.99466919,37.7071032800001,469.9057935675,412052.840895457
"GU0403",2004-07-24 06:44:33,286.6639081,109,782,1.8,1,1,2,-73.0126634599999,37.7059423200001,-1116.28775565526,411923.995203203
"GU0403",2004-07-24 06:59:39,2133.150833,110,782,1,1,1,2,-72.88678793,37.7161888100001,9978.4215466706,413067.096577723
"GU0403",2004-07-24 07:01:44,718.3255981,111,782,1.6,1,1,2,-72.88189912,37.73114954,10407.4071691671,414728.653830722
"GU0403",2004-07-24 12:24:37,5817.838471,112,787,2,1,1,3,-72.16012383,37.86729351,73888.0269453083,430139.515354595
"GU0403",2004-07-25 06:30:56,373.6810209,113,796,2,1,1,2,-71.13988798,37.89174095,163586.909750948,434032.712490069
"GU0403",2004-07-26 16:13:23,113.0881866,114,813,1,1,1,2,-73.01843917,37.13338487,-1636.83428558419,348335.481127704
"GU0403",2004-07-26 16:49:56,1509.440766,115,814,5,1,1,2,-72.97463901,37.0205551500001,2254.37523811829,335800.986369067
"GU0403",2004-07-27 08:58:16,3515.763628,116,816,2,1,1,3,-73.5511965599999,36.5560068200001,-49273.4457445742,284313.857403826
"GU0403",2004-07-27 14:02:06,547.4246511,117,824,1,1,1,5,-74.3918146,36.28701096,-124821.232283408,255130.501329031
"GU0403",2004-08-01 11:22:54,470.9374938,118,835,4,1,1,4,-74.04429798,37.3812458100001,-92420.1964842957,376336.794298967
"GU0403",2004-08-01 11:30:47,2854.408558,119,835,3,1,1,4,-74.0303907699999,37.39385444,-91175.4037923601,377724.662383277
"GU0403",2004-08-01 12:19:56,772.5636867,120,836,3.666666667,1,1,3,-73.9393940699999,37.2412604900001,-83278.6982700242,360699.372109195
"GU0403",2004-08-01 12:40:35,449.258173,121,836,7.8,1,1,3,-73.9358463299999,37.23015566,-82975.4336913805,359463.039077522
"GU0403",2004-08-01 13:22:10,492.4038798,122,836,1.25,1,1,3,-73.87216818,37.19612547,-77361.7442154803,355633.371970964
"GU0403",2004-08-01 13:32:56,326.0842835,123,837,2,1,1,3,-73.8335709799999,37.1436374900001,-73985.5507429807,349774.506328787
"GU0403",2004-08-01 13:41:41,1650.831608,124,837,1,1,1,3,-73.82029104,37.15901266,-72793.2429834671,351472.9390883
"GU0403",2004-08-01 14:17:50,143.8403242,125,838,1,1,1,3,-73.73731875,37.0024331000001,-65555.2255008644,334022.669915101
"GU0403",2004-08-01 14:23:12,1172.327573,126,838,4,1,1,3,-73.7210383,37.0092757200001,-64102.4131705171,334772.58596891
"GU0403",2004-08-01 15:11:04,8116.649359,127,839,3,1,1,3,-73.60504063,36.9594201,-53822.6411689511,329167.087089307
"GU0403",2004-08-01 15:16:36,7139.100498,128,839,1,1,1,3,-73.74144251,36.88195001,-66018.4968004535,320639.415204792
"GU0403",2004-08-01 15:59:31,5246.640906,129,840,1,1,1,3,-73.5357770699999,36.8137162100001,-47745.6667307119,312944.037181117
"GU0403",2004-08-01 16:45:15,1205.713637,130,841,2.5,1,1,3,-73.51026646,36.7063209500001,-45531.6003299411,300998.938425043
"GU0403",2004-08-01 16:53:24,141.4213593,131,841,1,1,1,3,-73.51385973,36.6928706,-45859.7066690471,299505.903484064
"GU0403",2004-08-02 06:13:24,438.7422158,132,844,2.333333333,1,1,3,-74.3270383999999,36.49042368,-118720.180751668,277659.95894978
"GU0403",2004-08-02 06:22:52,2185.472659,133,844,2.5,1,1,3,-74.3458925899999,36.4744353900001,-120430.112001466,275905.141344998
"GU0403",2004-08-02 06:27:42,1348.439052,134,844,1.5,1,1,3,-74.35517578,36.51063929,-121207.633624363,279939.345276992
"GU0403",2004-08-02 06:35:47,6344.020236,135,844,1.333333333,1,1,3,-74.3642379199999,36.56050171,-121944.505738127,285491.05688417
"GU0403",2004-08-02 06:53:21,4636.327926,136,844,3,1,1,3,-74.42992494,36.47991697,-127940.351515524,276615.907189156
"GU0403",2004-08-05 18:32:06,70.71067965,137,859,1,1,1,5,-73.4859077999999,36.56985596,-43429.8134495911,285823.474921657
