x,y,Depth,SST,NPP,DistToCAS,EKE,off.set,LinkID
487984.6181,718253.9925,1123.0957,16.2531,1312.3208,987.0299,0.0072,1e+08,89
497984.6181,718253.9925,1713.9323,17.0415,1454.8076,1072.9701,0.0147,1e+08,90
507984.6181,718253.9925,1932.4053,18.0114,1553.5693,1372.9448,0.0292,1e+08,91
517984.6181,718253.9925,2068.7483,19.3062,1746.4735,1232.6149,0.047,1e+08,92
527984.6181,718253.9925,2288.0642,20.7777,1846.8691,623.102,0.0652,1e+08,93
537984.6181,718253.9925,2449.9346,22.3134,1729.3192,1284.8459,0.0833,1e+08,94
547984.6181,718253.9925,2668.0515,23.6641,1701.8418,542.5798,0.1017,1e+08,95
557984.6181,718253.9925,2904.9453,24.3258,1661.479,423.5977,0.1205,1e+08,96
567984.6181,718253.9925,3068.7349,24.4162,1682.8717,2209.6677,0.1389,1e+08,97
577984.6181,718253.9925,2945.9194,23.9423,1867.0146,6990.335,0.1571,1e+08,98
587984.6181,718253.9925,3295.8313,23.3414,1721.7185,8563.0977,0.1725,1e+08,99
597984.6181,718253.9925,3516.2212,22.7148,1804.3081,4134.4595,0.1762,1e+08,100
607984.6181,718253.9925,3674.5811,22.2433,1525.5957,1557.1072,0.1796,1e+08,101
357984.6181,708253.9925,89.5943,13.8246,1356.3605,23338.998,4e-04,1e+08,102
367984.6181,708253.9925,95.6145,14.0856,1272.4917,18991.9375,4e-04,1e+08,103
377984.6181,708253.9925,101.3117,14.3348,1324.1906,12688.8613,5e-04,1e+08,104
387984.6181,708253.9925,117.9423,14.5398,1359.9346,11885.252,5e-04,1e+08,105
397984.6181,708253.9925,136.5057,14.8547,1666.3243,10621.9131,6e-04,1e+08,106
407984.6181,708253.9925,178.629,15.2592,1975.8387,5120.124,9e-04,1e+08,107
417984.6181,708253.9925,871.6232,15.5174,1982.1476,583.0302,0.0012,1e+08,108
427984.6181,708253.9925,286.2076,15.7054,1853.1196,2982.7593,0.0015,1e+08,109
437984.6181,708253.9925,645.4508,15.5973,1696.0334,1455.8121,0.0018,1e+08,110
447984.6181,708253.9925,555.6251,15.5578,1576.0441,1066.6144,0.0014,1e+08,111
457984.6181,708253.9925,1213.7102,15.6202,1353.2697,825.4222,0.001,1e+08,112
467984.6181,708253.9925,1099.756,16.0754,1340.2509,1591.624,0.0011,1e+08,113
477984.6181,708253.9925,1500.2786,16.7059,1331.1998,1508.4893,0.0013,1e+08,114
487984.6181,708253.9925,1872.1041,17.3455,1267.9126,1069.4406,0.0094,1e+08,115
497984.6181,708253.9925,1968.1221,18.017,1366.1888,1250.542,0.0201,1e+08,116
507984.6181,708253.9925,2095.3906,18.7621,1513.9601,1268.6365,0.0385,1e+08,117
517984.6181,708253.9925,2260.2214,19.8127,1805.188,2416.5312,0.0614,1e+08,118
527984.6181,708253.9925,2412.814,21.0824,1872.3872,2758.0579,0.0811,1e+08,119
537984.6181,708253.9925,2739.6748,22.6004,1814.0536,913.8325,0.0968,1e+08,120
547984.6181,708253.9925,2902.8804,24.0256,1663.2063,851.4858,0.1118,1e+08,121
557984.6181,708253.9925,2946.0693,24.7155,1641.8782,265.51,0.1253,1e+08,122
567984.6181,708253.9925,3215.302,24.8393,1753.7383,149.7233,0.1379,1e+08,123
577984.6181,708253.9925,3339.292,24.2398,1765.0106,1993.4797,0.149,1e+08,124
587984.6181,708253.9925,3446.5022,23.5228,1787.9109,7855.1382,0.1581,1e+08,125
597984.6181,708253.9925,3582.6707,22.7685,1731.4625,9075.1152,0.1541,1e+08,126
607984.6181,708253.9925,3698.2222,22.3359,1752.1323,4597.6294,0.1488,1e+08,127
177984.6181,698253.9925,107.5254,15.8452,1177.6345,44908.8633,6e-04,1e+08,128
327984.6181,698253.9925,92.9638,13.4593,2233.1296,14457.9102,3e-04,1e+08,129
337984.6181,698253.9925,107.1964,13.6892,1287.9083,8918.2178,4e-04,1e+08,130
347984.6181,698253.9925,111.277,14.0257,1440.1575,12135.3643,5e-04,1e+08,131
357984.6181,698253.9925,111.425,14.4328,1466.3263,15647.8418,5e-04,1e+08,132
367984.6181,698253.9925,121.8056,14.7717,1427.8035,13317.8438,5e-04,1e+08,133
377984.6181,698253.9925,140.1596,15.0789,1512.8456,6177.7803,4e-04,1e+08,134
387984.6181,698253.9925,249.0643,15.2732,1573.5724,3869.1694,4e-04,1e+08,135
397984.6181,698253.9925,218.056,15.5642,1847.6664,4433.6792,5e-04,1e+08,136
407984.6181,698253.9925,671.2516,15.9498,1987.8389,1685.3713,9e-04,1e+08,137
417984.6181,698253.9925,1014.623,16.2171,1857.1113,514.5864,0.0013,1e+08,138
427984.6181,698253.9925,1213.4597,16.4184,1407.0039,575.1176,0.0017,1e+08,139
437984.6181,698253.9925,1429.1215,16.2947,1236.8065,455.9073,0.0022,1e+08,140
447984.6181,698253.9925,1328.4865,16.2658,1291.9558,831.9777,0.0018,1e+08,141
457984.6181,698253.9925,1610.9062,16.4093,1223.6959,349.6945,0.0014,1e+08,142
467984.6181,698253.9925,1576.4788,16.973,1165.0643,1294.5532,0.0014,1e+08,143
477984.6181,698253.9925,1876.6378,17.7673,1198.9067,1492.3431,0.0015,1e+08,144
487984.6181,698253.9925,2028.5044,18.4232,1253.0752,1125.3092,0.0114,1e+08,145
497984.6181,698253.9925,2310.4026,19.069,1312.1945,1985.9124,0.0251,1e+08,146
507984.6181,698253.9925,2424.5608,19.664,1401.8456,1470.5768,0.0472,1e+08,147
517984.6181,698253.9925,2631.6829,20.493,1568.1415,2088.1724,0.0753,1e+08,148
527984.6181,698253.9925,2596.626,21.5213,1714.5129,5410.314,0.0972,1e+08,149
537984.6181,698253.9925,2730.9548,22.8059,1605.7845,5829.7158,0.1107,1e+08,150
547984.6181,698253.9925,3009.1038,24.0581,1682.9955,2127.3154,0.1225,1e+08,151
557984.6181,698253.9925,3143.5977,24.6442,1618.4785,1409.864,0.1307,1e+08,152
567984.6181,698253.9925,3227.72,24.804,1340.7444,2413.4509,0.1383,1e+08,153
577984.6181,698253.9925,3497.3806,24.2946,1602.3972,1541.0128,0.1422,1e+08,154
587984.6181,698253.9925,3584.4019,23.6456,1615.7603,6637.0303,0.1442,1e+08,155
597984.6181,698253.9925,3674.3206,22.9292,1388.0724,13567.0723,0.1321,1e+08,156
607984.6181,698253.9925,3796.4651,22.4137,1546.0765,12666.5029,0.1185,1e+08,157
617984.6181,698253.9925,3892.946,21.9657,1368.0153,7974.2197,0.194,1e+08,158
157984.6181,688253.9925,114.1311,16.3438,1397.231,25830.5703,6e-04,1e+08,159
167984.6181,688253.9925,125.7941,16.1853,1552.8829,31694.9922,7e-04,1e+08,160
177984.6181,688253.9925,129.0086,16.0482,1401.4806,37943.7344,7e-04,1e+08,161
187984.6181,688253.9925,126.7439,15.9219,1582.006,34495.1328,9e-04,1e+08,162
197984.6181,688253.9925,123.4807,15.8363,1637.7324,26835.8105,0.0012,1e+08,163
207984.6181,688253.9925,119.277,15.7411,1454.2129,20821.3594,0.0013,1e+08,164
217984.6181,688253.9925,115.8658,15.6183,1340.584,18137.4121,0.0011,1e+08,165
227984.6181,688253.9925,110.8112,15.4847,1324.1188,18591.3516,9e-04,1e+08,166
237984.6181,688253.9925,103.2948,15.3424,1284.4523,16397.2305,5e-04,1e+08,167
247984.6181,688253.9925,102.1653,15.2384,1304.4705,16069.7295,3e-04,1e+08,168
257984.6181,688253.9925,100.1612,15.1318,1356.0674,20623.7988,4e-04,1e+08,169
267984.6181,688253.9925,96.454,14.9877,1386.3052,25943.6172,4e-04,1e+08,170
307984.6181,688253.9925,87.92,14.0248,1404.8241,23709.7227,3e-04,1e+08,171
317984.6181,688253.9925,94.4874,14.0711,1622.3907,18746.8984,3e-04,1e+08,172
327984.6181,688253.9925,107.9623,14.1919,1945.261,10635.7549,3e-04,1e+08,173
337984.6181,688253.9925,217.5558,14.4781,1474.5005,2942.384,4e-04,1e+08,174
347984.6181,688253.9925,144.1599,14.9005,1580.2858,6068.8003,6e-04,1e+08,175
357984.6181,688253.9925,183.2135,15.4173,1589.5409,7487.5464,6e-04,1e+08,176
367984.6181,688253.9925,198.5749,15.8406,1611.7511,6866.4375,5e-04,1e+08,177
377984.6181,688253.9925,208.5058,16.2078,1631.2655,3812.0679,4e-04,1e+08,178
387984.6181,688253.9925,647.957,16.345,1662.7397,1252.1487,4e-04,1e+08,179
397984.6181,688253.9925,734.9375,16.5145,1678.3649,1329.1694,5e-04,1e+08,180
407984.6181,688253.9925,1407.3124,16.7165,1855.9364,601.2053,9e-04,1e+08,181
417984.6181,688253.9925,1605.4558,16.8497,1684.3054,435.6871,0.0013,1e+08,182
427984.6181,688253.9925,1955.2545,16.9481,1331.9692,292.2733,0.0019,1e+08,183
437984.6181,688253.9925,1992.1163,16.8062,1224.2516,287.9541,0.0024,1e+08,184
447984.6181,688253.9925,1912.5961,16.7864,1249.4694,770.1767,0.0021,1e+08,185
457984.6181,688253.9925,2041.0935,17.0372,1193.1761,344.1248,0.0018,1e+08,186
467984.6181,688253.9925,1932.717,17.7139,1133.6862,1805.2115,0.0017,1e+08,187
477984.6181,688253.9925,2002.4229,18.6776,1070.7919,3516.0688,0.0015,1e+08,188
487984.6181,688253.9925,2202.155,19.4652,1187.9839,2906.6416,0.0111,1e+08,189
497984.6181,688253.9925,2611.8367,20.1942,1272.4185,1733.3191,0.0252,1e+08,190
507984.6181,688253.9925,2797.6157,20.6942,1340.1835,2476.7136,0.0504,1e+08,191
517984.6181,688253.9925,2862.5649,21.3124,1414.098,3196.6628,0.0861,1e+08,192
527984.6181,688253.9925,2897.4456,22.0541,1431.1902,3511.7368,0.1159,1e+08,193
537984.6181,688253.9925,2878.9622,23.009,1392.3346,9295.2617,0.1361,1e+08,194
547984.6181,688253.9925,3106.6028,23.9959,1557.4596,7374.2236,0.1519,1e+08,195
557984.6181,688253.9925,3350.4094,24.4793,1560.0234,4015.2639,0.1518,1e+08,196
567984.6181,688253.9925,3414.8057,24.6822,1493.7948,7522.4956,0.1498,1e+08,197
577984.6181,688253.9925,3552.2349,24.3121,1378.9674,8282.3887,0.1397,1e+08,198
587984.6181,688253.9925,3656.1086,23.7608,1595.5145,10876.7168,0.128,1e+08,199
597984.6181,688253.9925,3783.2908,23.0895,1469.7806,17064.0996,0.1078,1e+08,200
607984.6181,688253.9925,3891.1206,22.501,1447.2965,19847.377,0.0859,1e+08,201
617984.6181,688253.9925,4006.6748,21.9669,1611.0763,14913.0879,0.1585,1e+08,202
137984.6181,678253.9925,90.741,17.2238,1248.176,14526.5303,9e-04,1e+08,203
147984.6181,678253.9925,110.4007,17.0926,1395.9744,13095.7471,0.001,1e+08,204
157984.6181,678253.9925,152.2939,16.9705,1435.3713,17707.6621,0.0011,1e+08,205
167984.6181,678253.9925,163.0282,16.8596,1378.2031,24272.5234,0.0011,1e+08,206
177984.6181,678253.9925,155.2603,16.7822,1280.1161,30976.7285,0.0011,1e+08,207
187984.6181,678253.9925,142.6923,16.7219,1475.618,29572.1621,0.0011,1e+08,208
197984.6181,678253.9925,131.9083,16.6502,1626.0979,20829.4941,0.0012,1e+08,209
207984.6181,678253.9925,126.7599,16.5472,1543.3232,12839.498,0.0011,1e+08,210
217984.6181,678253.9925,145.6011,16.3533,1472.6674,8312.2441,8e-04,1e+08,211
227984.6181,678253.9925,136.7897,16.1463,1505.6268,10261.2998,6e-04,1e+08,212
237984.6181,678253.9925,143.6509,15.9277,1510.6869,8025.7437,5e-04,1e+08,213
247984.6181,678253.9925,143.059,15.788,1520.1968,7657.5352,4e-04,1e+08,214
257984.6181,678253.9925,131.5054,15.6606,1508.8927,14402.1025,7e-04,1e+08,215
267984.6181,678253.9925,120.613,15.5219,1394.0413,17346.8438,0.001,1e+08,216
277984.6181,678253.9925,110.2143,15.3466,1195.1598,17185.459,0.0011,1e+08,217
287984.6181,678253.9925,104.1819,15.1175,1151.4768,12985.5703,0.0011,1e+08,218
297984.6181,678253.9925,99.9983,14.9266,1202.6276,12351.3867,9e-04,1e+08,219
307984.6181,678253.9925,96.3549,14.754,1400.6884,16551.9883,6e-04,1e+08,220
317984.6181,678253.9925,103.7879,14.8435,1431.0759,13010.9268,5e-04,1e+08,221
327984.6181,678253.9925,143.213,15.0158,1472.3241,6985.6279,4e-04,1e+08,222
337984.6181,678253.9925,363.0306,15.3964,1434.2079,1983.5988,4e-04,1e+08,223
347984.6181,678253.9925,262.0067,15.9002,1519.7284,2815.6763,5e-04,1e+08,224
357984.6181,678253.9925,688.1054,16.5031,1599.7314,2450.8022,5e-04,1e+08,225
367984.6181,678253.9925,744.131,16.9906,1647.7418,1491.9409,4e-04,1e+08,226
377984.6181,678253.9925,967.1749,17.4065,1642.2343,1006.9087,5e-04,1e+08,227
387984.6181,678253.9925,1548.7246,17.4621,1750.8073,1369.7334,7e-04,1e+08,228
397984.6181,678253.9925,1597.1852,17.4981,1376.934,822.3136,9e-04,1e+08,229
407984.6181,678253.9925,1926.1202,17.5028,1416.4321,382.3555,0.0012,1e+08,230
417984.6181,678253.9925,2115.1399,17.4939,1490.4236,292.5551,0.0015,1e+08,231
427984.6181,678253.9925,2169.0642,17.4778,1271.3242,280.7858,0.0017,1e+08,232
437984.6181,678253.9925,2228.1614,17.3195,1214.2596,449.8428,0.002,1e+08,233
447984.6181,678253.9925,2207.5662,17.2962,1212.4432,580.7437,0.0021,1e+08,234
457984.6181,678253.9925,2486.2717,17.648,1174.8607,156.0424,0.0023,1e+08,235
467984.6181,678253.9925,2292.4883,18.396,1138.0474,385.1514,0.0019,1e+08,236
477984.6181,678253.9925,2129.7512,19.4641,1030.7419,1753.8401,0.0012,1e+08,237
487984.6181,678253.9925,2353.8157,20.313,1068.088,5812.355,0.0093,1e+08,238
497984.6181,678253.9925,2747.7988,21.0688,1125.6719,6366.9282,0.0226,1e+08,239
507984.6181,678253.9925,3046.0479,21.4663,1262.1169,2172.7581,0.0504,1e+08,240
517984.6181,678253.9925,3071.895,21.9213,1368.4396,3373.7505,0.095,1e+08,241
527984.6181,678253.9925,3160.9756,22.4484,1411.7745,2285.7778,0.1345,1e+08,242
537984.6181,678253.9925,3241.9438,23.1276,1333.6791,6421.0151,0.1624,1e+08,243
547984.6181,678253.9925,3407.115,23.8565,1373.9661,11296.3008,0.1841,1e+08,244
557984.6181,678253.9925,3570.9751,24.2148,1362.9828,10858.6221,0.1744,1e+08,245
567984.6181,678253.9925,3607.6177,24.3999,1380.8422,11199.752,0.1631,1e+08,246
577984.6181,678253.9925,3605.2756,24.1597,1345.2626,9712.9229,0.139,1e+08,247
587984.6181,678253.9925,3721.311,23.7995,1149.6902,9220.6592,0.1134,1e+08,248
597984.6181,678253.9925,3817.9094,23.3536,1280.0306,14169.002,0.0846,1e+08,249
607984.6181,678253.9925,3941.7996,22.8906,1318.2865,20781.2852,0.0544,1e+08,250
617984.6181,678253.9925,4041.9302,22.4443,1424.5022,19852.8125,0.122,1e+08,251
117984.6181,668253.9925,94.1892,17.7829,1232.952,20233.627,7e-04,1e+08,252
127984.6181,668253.9925,96.0766,17.7339,1327.4286,16893.6621,0.001,1e+08,253
137984.6181,668253.9925,111.5094,17.6942,1403.3398,8334.6631,0.0014,1e+08,254
147984.6181,668253.9925,196.8765,17.6474,1437.4678,4912.9634,0.0016,1e+08,255
157984.6181,668253.9925,248.7216,17.5956,1454.4958,10451.6191,0.0019,1e+08,256
167984.6181,668253.9925,278.778,17.5322,1397.3639,17189.1934,0.0019,1e+08,257
177984.6181,668253.9925,263.7283,17.5088,1448.189,25314.2676,0.0017,1e+08,258
187984.6181,668253.9925,248.905,17.5049,1465.4248,26628.875,0.0015,1e+08,259
197984.6181,668253.9925,224.5145,17.4391,1477.2068,17624.4258,0.0011,1e+08,260
